,sample,cox1,cox3,dioxygenase,dsr,katG,nap,narG,nir,nod,nos,nrd,pmoA,ribo_reductase,sod,Cyt_bd_oxid,O2,depth,Latitude,Longitude,Lyapunov,NO2,NO3,NO2NO3,PO4,size_fraction,Temperature,Carbon.total,CO3,HCO3,Density,Alkalinity.total,Nitracline,Brunt.Väisälä,Iron.5m,Residence.time,Okubo.Weiss,study,mcrA,nor,aerobic_score,anaerobic_score
12,TARA_B100000457,273.4655980195,175.97156045100002,0.253544266,22.195873852,93.185094918,1.54602298,0.0,0.0,0.26965955,0.313278758,0.0,0.0,266.270598822,330.365729587,7.766076699999999,215.2007,5.0,-20.4091,-3.1759,0.047133,0.0465,1.763081,0.8015,0.309,3.0,19.77001,0.0103,0.04,0.0,25.859525,0.0033,161.0,159.0,0.000787816,0.0,0.009208,1,,,808.8928522105,24.055175589999997
13,TARA_B100000513,571.8049546395,229.140728983,2.452079439,7.854027874,311.891385436,3.496811402,0.0,0.438171756,0.020976761,0.207161429,0.0,0.0,354.8605438815,635.005796026,33.391506961999994,206.23185,5.0,-20.9354,-35.1803,0.027592,0.001404,0.185971,0.0,0.055883,3.0,23.374825,0.0019,0.0016,0.0,25.40018,0.0,849.0,152.0,0.000776878,0.0,0.084131,1,,,1467.69761294,11.996172461
14,TARA_B100000526,238.7259629465,185.6993095255,0.269864774,9.708250696,58.973938645,1.104238633,0.0,0.19181317,0.017185489,0.26604193,0.0,0.0,123.514157269,161.5575811285,2.4904883425,216.6547,120.0,-30.1484,-43.2705,0.14819,0.053,0.085111,0.104,0.0,3.0,19.32335,0.0064,0.0343,0.0,25.920365,0.002,166.0,4.0,0.000862562,5.777778,0.053558,1,,,606.913368386,11.270344429
15,TARA_B100000562,1032.606248024,168.20762327,0.0,0.59164141,136.6564792485,0.73040344,0.086340025,0.05892954,0.0,0.0,0.0,0.0,594.271526759,753.781784501,0.0308888425,392.56,5.0,-63.8768,-56.0916,0.050114,,,,,3.0,-0.27325,,,,27.474675,,,7.0,2.39e-05,1.5,0.005717,1,,,1931.7418773015002,1.3809743900000002
16,TARA_B100000575,455.660965533,309.101811968,0.464753445,6.061152696000001,111.8293445995,0.6599085755,0.0,0.113100646,0.0,0.298280387,0.0,0.014728407,379.9407935195,183.587175844,3.1133158285,209.1003,5.0,-16.9601,-100.6335,0.018781,0.0415,3.149999,2.676,0.5,3.0,22.78183,0.0027,0.0041,0.0,24.742485,0.0,260.0,83.0,3.01e-06,34.305556,-0.075767,1,,,1256.53291562,7.132442304500001
17,TARA_B100000579,275.9850129065,204.6492996745,0.566271973,20.127884270000003,139.183744881,0.8667706755,0.034669124,0.0653661359999999,0.09474978,0.076815932,0.0,0.0,194.871515269,163.98507524800002,5.202696172,208.54895,90.0,-16.9587,-100.6751,0.018781,0.203,0.85366,1.2215,0.443,3.0,19.783275,0.0035,0.0141,0.0,25.354365,0.0047,230.0,225.0,3.01e-06,34.305556,-0.075767,1,,,814.6895727310001,21.136837013500003
18,TARA_B100000603,354.604571008,464.891087702,0.0,22.990794906,169.07430198400002,0.537951844,0.0,0.3754616535,0.085863895,0.50366958,0.0,0.0,377.5069270635,290.602102808,6.531102162,180.67375,5.0,0.0003,-153.6759,0.115437,0.2715,2.964091,5.0815,0.53975,3.0,26.218438,0.0061,0.0127,0.0,23.062688,0.0015,281.0,101.0,3.35e-06,0.0,0.069092,1,,,1366.0768877575001,24.4078779835
19,TARA_B100000611,252.1046606015,92.012026423,0.153195365,16.794495538,132.702855293,3.498912736,0.0,0.091665415,0.085999775,0.283381706,0.0,0.0,203.720578681,291.3069333525,4.897507538,177.673063,40.0,0.0222,-153.6858,0.115437,0.2835,3.000673,5.264,0.54925,3.0,26.139288,0.0082,0.0203,0.0,23.1032,0.0036,298.0,113.0,3.35e-06,0.0,0.069092,1,,,680.5401209985,20.668455395000002
20,TARA_B100000622,222.8300922785,90.815421703,0.027689109,3.822950301,96.5286364335,2.2412089550000003,0.0,0.636172794,0.21925307,0.438986,0.0,0.0,324.6670500785,1092.735060992,18.748939897000003,185.28475,5.0,6.671,-153.0658,0.045416,0.042,0.0,0.4145,0.225,3.0,28.29544,0.0025,0.0057,0.0,22.10997,0.0016,153.0,110.0,3.43e-06,1.083333,0.002842,1,,,734.8412004935,7.13931805
21,TARA_B100000624,161.0489355635,106.9493211845,0.221126463,3.1671064820000003,75.22628357549999,1.079492554,0.0,0.0467778249999999,0.03873361,0.179190897,0.0,0.0,199.339211977,384.425149231,12.100066577,183.1609,85.0,6.6112,-153.0543,0.045416,0.6895,0.0,1.1285,0.332,3.0,28.308435,0.004,0.015,0.0,22.14902,0.0025,154.0,117.0,3.43e-06,1.083333,0.002842,1,,,542.5637523005,4.472567757999999
22,TARA_B100000651,252.29471436,50.171584303,17.723530483,3.6170674,183.157958177,20.420279477,0.0599157095,4.42639901,0.145710667,1.295691864,0.0,0.0,167.014163139,747.799960429,40.227804994,22.28975,746.0,22.7546,-158.0067,0.05711,,37.060557,,,3.0,4.663706,0.0,0.0,0.0,27.129662,0.0,448.0,56.0,0.000198943,0.0,-0.047315,1,,,652.638419979,29.759437751
23,TARA_B100000676,295.4223315115,43.1571154995,1.313596337,10.497308072,109.4298848765,0.531242825,0.015650403,64.865930777,0.02446964,0.1489446649999999,0.0,35.8422,194.608575958,366.376516545,17.6770856465,172.42475,120.0,-9.0714,-140.5973,0.043603,0.3535,4.148328,1.19925,0.4885,3.0,24.81397,0.00185,0.00975,0.0,24.092785,0.00585,145.0,111.0,2.46e-06,2.777778,9.6e-05,1,,,642.6179078455,76.043426339
24,TARA_B100000678,435.113076762,10.348256351,35.020903384,0.8518025389999999,189.776461977,22.161903906,0.175307802,3.369822516,0.40274311,0.782425881,0.0,0.0,220.633803054,1082.3507823185,39.493988826,40.6107,600.0,-8.9729,-139.2393,0.028977,,41.697487,,,3.0,7.133995,,,,27.07634,,209.0,107.0,2.32e-06,15.833333,0.007751,1,,,855.871598144,27.165954841999998
